ISO_Code,Guam,Ctry_Land,percent_IP_communitylands,Country Conversion,Country Coversion (pop)
ARG,Argentina,272985130,0.1-5%,Argentina,Argentina
ROU,Romania,23483370,0.1-5%,Romania,Romania
RWA,Rwanda,2392011,0.1-5%,Rwanda,Rwanda
BMU,Bermuda (UK),6320,20.1-40%,Bermuda (UK),Bermuda
ECU,Ecuador,25523697,20.1-40%,Ecuador,Ecuador
IDN,Indonesia,188544513,20.1-40%,Indonesia,Indonesia
MAR,Morocco,41328165,20.1-40%,Morocco,Morocco
NAM,Namibia,82067968,20.1-40%,Namibia,Namibia
VEN,Venezuela,90346698,20.1-40%,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
IRN,Iran,159908567,40.1-60%,Iran (Islamic Republic of),Iran (Islamic Republic of)
KEN,Kenya,57276323,40.1-60%,Kenya,Kenya
KIR,Kiribati,90969,40.1-60%,,
LBR,Liberia,9607898,40.1-60%,Liberia,Liberia
NIC,Nicaragua,11915525,40.1-60%,Nicaragua,Nicaragua
PAN,Panama,7461340,40.1-60%,Panama,Panama
PER,Peru,128327932,40.1-60%,Peru,Peru
SWZ,Swaziland,1726264,40.1-60%,Eswatini,Eswatini
TWN,Taiwan,3614047,40.1-60%,,
ZWE,Zimbabwe,38769663,40.1-60%,Zimbabwe,Zimbabwe
IND,India,312578027,5.1-20%,India,India
SYC,Seychelles,49571,5.1-20%,Seychelles,Seychelles
ZAF,South Africa,121730677,5.1-20%,South Africa,South Africa
USA,United States,915882681,5.1-20%,United States of America,United States of America
AGO,Angola,125125523,60.1-80%,Angola,Angola
AUS,Australia,762123480,60.1-80%,Australia,Australia
BEN,Benin,11555122,60.1-80%,Benin,Benin
BWA,Botswana,57287472,60.1-80%,Botswana,Botswana
CIV,Côte d'Ivoire,32049075,60.1-80%,Côte d’Ivoire,Côte d'Ivoire
GNQ,Equatorial Guinea,2703149,60.1-80%,Equatorial Guinea,Equatorial Guinea
GHA,Ghana,23300133,60.1-80%,Ghana,Ghana
GNB,Guinea-Bissau,3351101,60.1-80%,Guinea-Bissau,Guinea-Bissau
LSO,Lesotho,3045227,60.1-80%,Lesotho,Lesotho
MDG,Madagascar,58960946,60.1-80%,Madagascar,Madagascar
MWI,Malawi,9467610,60.1-80%,Malawi,Malawi
FSM,Micronesia,77723,60.1-80%,,
MOZ,Mozambique,77641937,60.1-80%,Mozambique,Mozambique
SEN,Senegal,19563979,60.1-80%,Senegal,Senegal
TZA,Tanzania,88557917,60.1-80%,United Republic of Tanzania,United Republic of Tanzania
UGA,Uganda,20578024,60.1-80%,Uganda,Uganda
ZMB,Zambia,74118495,60.1-80%,Zambia,Zambia
DZA,Algeria,230683118,80.1-100%,Algeria,Algeria
ASM,American Samoa (U.S.),22333,80.1-100%,,
BFA,Burkina Faso,27522987,80.1-100%,Burkina Faso,Burkina Faso
BDI,Burundi,2508107,80.1-100%,Burundi,Burundi
CMR,Cameroon,46539127,80.1-100%,Cameroon,Cameroon
CPV,Cape Verde,410515,80.1-100%,Cabo Verde,Cabo Verde
CAF,Central African Republic,62188255,80.1-100%,Central African Republic,Central African Republic
TCD,Chad,127169170,80.1-100%,Chad,Chad
COM,Comoros,167960,80.1-100%,Comoros,Comoros
COK,Cook Islands,26120,80.1-100%,,
COD,Democratic Republic of the Congo,229841100,80.1-100%,Congo,Congo
TLS,East Timor,1496590,80.1-100%,Timor-Leste,Timor-Leste
EGY,Egypt,97690547,80.1-100%,Egypt,Egypt
ERI,Eritrea,12018401,80.1-100%,Eritrea,Eritrea
ETH,Ethiopia,112736573,80.1-100%,Ethiopia,Ethiopia
FJI,Fiji,1865157,80.1-100%,Fiji,Fiji
GAB,Gabon,26317118,80.1-100%,Gabon,Gabon
